;Park Name;Type;Location;Geo Local Area;Summer hours;Winter hours;Wheelchair access;Note;Geom;geo_point_2d
0;Adanac Park;Park - Field House;East side, fieldhouse;Hastings-Sunrise;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.02407196073857, 49.27588096678926], ""type"": ""Point""}";49.27588096678926, -123.02407196073857
1;Barclay Heritage Square;Community Center;Barclay Manor (WECC);West End;as per CC operating hours;as per CC operating hours;No;Maintained by Rec Center;"{""coordinates"": [-123.1325605108117, 49.28721486907015], ""type"": ""Point""}";49.28721486907015, -123.1325605108117
2;Bobolink Park;Park - Field House;North side, fieldhouse;Victoria-Fraserview;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.0564149547593, 49.21560698536666], ""type"": ""Point""}";49.21560698536666, -123.0564149547593
3;Burrard View Park;Park - Field House;Fieldhouse;Hastings-Sunrise;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.0496489708471, 49.29036396133096], ""type"": ""Point""}";49.29036396133096, -123.0496489708471
4;Carnarvon Park;Park - Field House;West side, field house;Arbutus Ridge;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.17260900971546, 49.25674201569889], ""type"": ""Point""}";49.25674201569889, -123.17260900971546
5;Chaldecott Park;Park - Field House;East side fieldhouse;Dunbar-Southlands;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.19112496215546, 49.24942695918215], ""type"": ""Point""}";49.24942695918215, -123.19112496215546
6;Clinton Park;Park - Field House;North east corner, fieldhouse;Hastings-Sunrise;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.04978202766654, 49.27114503209186], ""type"": ""Point""}";49.27114503209186, -123.04978202766654
7;Columbia Park;Park - Portland Loo;West Side;Oakridge;Dawn to Dusk Weekends only;Dawn to Dusk Weekends only;Yes;;"{""coordinates"": [-123.11313783023915, 49.23177479977243], ""type"": ""Point""}";49.23177479977243, -123.11313783023915
8;David Lam Park;Park - Public Washroom;West side;Downtown;10:00 am - Dusk;10:00 am - Dusk;No;;"{""coordinates"": [-123.12541503573894, 49.272383006627635], ""type"": ""Point""}";49.272383006627635, -123.12541503573894
9;Elm Park;Park - Field House;Central, field house;Kerrisdale;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.16328394393365, 49.23343197827387], ""type"": ""Point""}";49.23343197827387, -123.16328394393365
10;Granville Park;Park - Field House;Central, field house;Fairview;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.1419699494165, 49.25849301101646], ""type"": ""Point""}";49.25849301101646, -123.1419699494165
11;Harbour Green Park;Park - Public Washroom;Central;Downtown;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.12146699909357, 49.289804013552704], ""type"": ""Point""}";49.289804013552704, -123.12146699909357
12;John Hendry (Trout Lake) Park;Park - Field House;At Trout Lake;Kensington-Cedar Cottage;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.0613879883137, 49.25392603797215], ""type"": ""Point""}";49.25392603797215, -123.0613879883137
