Official,Advisories,SpecialFeatures,Facilities,Washrooms,NeighbourhoodName,Hectare
1,N,N,Y,N,Mount Pleasant,0.06
1,N,N,Y,N,Riley Park,6.21
1,N,N,N,N,Arbutus-Ridge,0.72
1,N,N,N,N,Kerrisdale,0.25
1,N,N,Y,N,Hastings-Sunrise,1.45
1,N,N,N,N,Strathcona,1.49
1,N,N,Y,N,Grandview-Woodland,1.62
1,N,N,Y,N,Mount Pleasant,3.16
1,N,N,Y,N,Kensington-Cedar Cottage,4.28
1,N,N,Y,N,Hastings-Sunrise,0.89
1,N,N,Y,Y,Dunbar-Southlands,5.0
1,N,N,N,N,Dunbar-Southlands,0.17
1,N,N,N,N,Grandview-Woodland,0.17
1,N,N,Y,N,Marpole,0.27
1,N,Y,Y,Y,Kitsilano,13.47
1,N,N,N,N,Fairview,0.07
1,N,N,Y,N,Kerrisdale,0.74
0,N,N,Y,N,Fairview,1.05
1,N,N,N,N,Kitsilano,0.72
1,N,Y,N,Y,Kitsilano,16.95
0,N,N,Y,N,Fairview,0.0
1,N,N,Y,N,Renfrew-Collingwood,0.68
0,N,N,N,N,Killarney,1.36
1,N,N,Y,N,Kensington-Cedar Cottage,2.11
0,N,N,N,N,Kitsilano,0.12
1,N,Y,Y,Y,West End,3.61
1,N,N,Y,N,Downtown,0.91
1,N,N,Y,Y,Kerrisdale,4.2
1,N,N,Y,N,Riley Park,0.37
1,N,Y,Y,Y,West End,400.0
1,N,N,N,N,Downtown,0.17
1,N,N,Y,Y,Kerrisdale,1.49
1,N,Y,Y,Y,Kitsilano,2.92
1,N,N,Y,Y,Arbutus-Ridge,3.79
1,N,Y,Y,N,Fairview,2.88
1,N,N,Y,N,Renfrew-Collingwood,1.59
0,N,N,N,N,Arbutus-Ridge,0.09
1,N,N,Y,N,Mount Pleasant,1.47
1,N,N,Y,N,West End,1.16
1,N,N,N,N,Downtown,0.83
1,N,N,Y,Y,Renfrew-Collingwood,7.57
1,N,N,Y,Y,South Cambie,1.26
1,N,N,N,N,Kitsilano,0.22
1,N,N,N,N,Downtown,0.1
1,N,N,N,N,Grandview-Woodland,0.19
1,N,N,N,N,Downtown,0.1
1,N,N,Y,N,Marpole,0.37
0,N,N,N,N,Dunbar-Southlands,0.0
1,N,Y,Y,N,Downtown,2.53
1,N,N,Y,N,Marpole,0.51
1,N,N,N,N,Dunbar-Southlands,0.74
1,N,N,Y,Y,Mount Pleasant,1.56
1,N,Y,Y,Y,West Point Grey,6.53
0,N,N,Y,N,Marpole,0.4
0,N,N,N,N,Kitsilano,0.22
1,N,N,Y,Y,Kensington-Cedar Cottage,27.31
1,N,N,Y,N,Victoria-Fraserview,0.47
0,N,N,N,N,Mount Pleasant,0.6
1,N,N,N,N,Downtown,0.17
1,N,N,Y,N,Riley Park,7.51
1,N,N,Y,Y,Strathcona,1.21
1,N,N,N,N,Kitsilano,0.38
1,N,Y,Y,Y,Strathcona,1.0
1,N,N,Y,N,Hastings-Sunrise,0.45
1,N,N,Y,Y,Dunbar-Southlands,3.45
1,N,N,Y,Y,Downtown,3.31
1,N,N,Y,Y,Victoria-Fraserview,6.51
0,N,N,N,N,Oakridge,1.21
0,N,N,Y,N,Mount Pleasant,0.95
0,N,N,N,N,Arbutus-Ridge,0.14
1,N,N,Y,N,Kerrisdale,0.69
1,N,N,N,N,Downtown,0.25
1,N,N,Y,Y,Hastings-Sunrise,4.19
1,N,N,Y,N,Arbutus-Ridge,2.89
1,N,N,Y,Y,Riley Park,1.21
1,N,N,Y,N,Renfrew-Collingwood,5.0
1,N,N,N,N,Shaughnessy,1.45
1,N,N,Y,N,Downtown,0.95
1,N,N,Y,Y,Grandview-Woodland,1.58
1,N,N,Y,Y,Fairview,1.96
1,N,N,Y,N,Renfrew-Collingwood,0.35
1,N,N,Y,Y,Killarney,4.01
1,N,N,Y,Y,Hastings-Sunrise,11.43
1,N,N,Y,N,Kitsilano,5.98
1,N,N,Y,N,South Cambie,48.57
1,N,N,Y,Y,Sunset,13.59
1,N,N,Y,Y,Kitsilano,1.71
1,N,N,Y,Y,Grandview-Woodland,0.97
1,N,N,N,N,West End,0.55
1,N,Y,N,N,West End,0.33
1,N,N,Y,Y,Renfrew-Collingwood,1.27
1,N,N,Y,N,Downtown,0.32
1,N,Y,Y,N,Downtown,1.71
1,N,Y,Y,Y,Downtown,3.1
1,N,N,Y,N,Kensington-Cedar Cottage,2.41
1,N,N,Y,Y,Grandview-Woodland,0.89
1,N,N,N,N,Marpole,0.35
1,N,N,Y,N,Hastings-Sunrise,0.44
0,N,N,N,N,Marpole,0.56
1,N,N,N,N,West End,0.22
1,N,N,N,N,Downtown,0.39
1,N,N,Y,N,Dunbar-Southlands,0.77
1,N,Y,N,N,Downtown,2.49
1,N,N,Y,Y,Arbutus-Ridge,4.85
0,N,Y,Y,N,South Cambie,5.0
1,N,N,Y,Y,Sunset,1.51
1,N,N,Y,N,Grandview-Woodland,1.93
1,N,N,N,N,Fairview,0.07
1,N,N,Y,N,Killarney,3.6
1,N,N,N,N,Downtown,0.27
1,N,N,N,N,Kerrisdale,2.42
1,N,N,N,N,Renfrew-Collingwood,5.89
1,N,N,Y,N,Killarney,38.08
1,N,N,Y,N,Kitsilano,0.22
